1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.018,3.8243,0.015362,0.99658,0.93731,0.018,12.73,0.040242,1,0.82393,0.018,23.116,0.059069,1,0.72381,0.018,39.366,0.072253,1,0.60394,0.018,59.84,0.066875,1,0.46383
0.019,4.0385,0.015243,0.99823,0.93697,0.019,13.387,0.039484,1,0.82328,0.019,24.259,0.057268,1,0.72265,0.019,41.163,0.06862,1,0.59965,0.019,62.146,0.061315,1,0.45038
0.02,4.2529,0.015126,0.99988,0.93661,0.02,14.039,0.038751,1,0.82249,0.02,25.387,0.055544,1,0.72109,0.02,42.915,0.065199,1,0.59448,0.02,64.339,0.056233,1,0.43598
0.021,4.4609,0.015011,1,0.93623,0.021,14.686,0.038042,1,0.82156,0.021,26.501,0.053892,1,0.71915,0.021,44.625,0.061974,1,0.58852,0.021,66.423,0.051584,1,0.42087
0.022,4.6679,0.014899,1,0.93584,0.022,15.329,0.037355,1,0.82051,0.022,27.601,0.052307,1,0.71687,0.022,46.292,0.05893,1,0.58187,0.022,68.402,0.04733,1,0.40528
0.023,4.8745,0.014789,1,0.93544,0.023,15.968,0.036688,1,0.81933,0.023,28.687,0.050785,1,0.71427,0.023,47.917,0.056055,1,0.57461,0.023,70.279,0.043434,1,0.38939
0.024,5.0808,0.014681,1,0.93502,0.024,16.602,0.036041,1,0.81804,0.024,29.759,0.049321,1,0.71138,0.024,49.501,0.053336,1,0.56682,0.024,72.059,0.039864,1,0.37335
0.025,5.2867,0.014575,1,0.93458,0.025,17.232,0.035413,1,0.81665,0.025,30.818,0.047913,1,0.70822,0.025,51.045,0.050764,1,0.55857,0.025,73.745,0.036593,1,0.3573
0.026,5.4922,0.01447,1,0.93413,0.026,17.858,0.034802,1,0.81515,0.026,31.863,0.046557,1,0.7048,0.026,52.549,0.048329,1,0.54991,0.026,75.341,0.033592,1,0.34135
0.028,5.9021,0.014267,1,0.93319,0.028,19.096,0.03363,1,0.81186,0.028,33.913,0.04399,1,0.69726,0.028,55.44,0.043833,1,0.53162,0.028,78.278,0.028315,1,0.3101
0.03,6.3107,0.01407,1,0.93219,0.03,20.319,0.032519,1,0.80823,0.03,35.911,0.0416,1,0.68891,0.03,58.181,0.039787,1,0.51232,0.03,80.899,0.023871,1,0.28015
0.04,8.3335,0.013169,1,0.92653,0.04,26.193,0.0277,1,0.7858,0.04,45.157,0.031773,1,0.63841,0.04,69.83,0.024716,1,0.41044,0.04,90.205,0.010152,1,0.15831
0.05,10.325,0.012376,1,0.91992,0.05,31.699,0.023818,1,0.75818,0.05,53.259,0.024539,1,0.57965,0.05,78.55,0.015458,1,0.31426,0.05,95.157,0.004287,1,0.08308
0.06,12.289,0.011665,1,0.91253,0.06,36.863,0.02061,1,0.72715,0.06,60.334,0.019076,1,0.51829,0.06,84.963,0.0096792,1,0.23288,0.06,97.679,0.001792,1,0.041448
0.07,14.226,0.011019,1,0.90448,0.07,41.708,0.017914,1,0.69391,0.07,66.486,0.014885,1,0.45769,0.07,89.599,0.0060492,1,0.16818,0.07,98.918,0.00074073,1,0.019902
0.08,16.137,0.010427,1,0.89586,0.08,46.252,0.015619,1,0.65933,0.08,71.811,0.011637,1,0.3999,0.08,92.897,0.0037666,1,0.11887,0.08,99.507,0.00030272,1,0.0092656
0.09,18.023,0.0098808,1,0.88674,0.09,50.511,0.013649,1,0.62403,0.09,76.399,0.0091031,1,0.34612,0.09,95.208,0.0023341,1,0.082479,0.09,99.78,0.00012233,1,0.0042025
0.1,19.886,0.0093733,1,0.87717,0.1,54.499,0.011945,1,0.58852,0.1,80.332,0.0071186,1,0.29703,0.1,96.804,0.0014386,1,0.056298,0.1,99.904,4.8905e-05,1,0.0018629
0.12,23.542,0.0084562,1,0.85685,0.12,61.715,0.0091737,1,0.51834,0.12,86.532,0.0043372,1,0.2137,0.12,98.625,0.0005368,1,0.025124,0.12,99.983,7.5229e-06,1,0.00034457
0.14,27.108,0.0076468,1,0.83517,0.14,67.997,0.0070524,1,0.45102,0.14,90.95,0.0026216,1,0.14946,0.14,99.432,0.00019533,1,0.010662,0.14,99.997,-3.07e-06,1,6.0913e-05
0.16,30.588,0.006925,1,0.81237,0.16,73.435,0.0054153,1,0.38799,0.16,94.034,0.001568,1,0.10185,0.16,99.774,6.9277e-05,1,0.0043266,0.16,100,-4.571e-05,1,1.0673e-05
