1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.019,67.949,0.013296,1,0.50638,0.019,42.719,0.033306,1,0.70672,0.019,24.259,0.057268,1,0.72265,0.019,9.7399,0.0807,0.74689,0.46879,0.019,2.0781,0.099987,0.28706,0.077582
0.02,69.937,0.012129,1,0.48234,0.02,44.435,0.031631,1,0.69342,0.02,25.387,0.055544,1,0.72109,0.02,10.355,0.079215,0.75598,0.47425,0.02,2.2583,0.098807,0.29634,0.082083
0.021,71.814,0.01107,1,0.45898,0.021,46.107,0.030055,1,0.68004,0.021,26.501,0.053892,1,0.71915,0.021,10.977,0.077777,0.76495,0.47949,0.021,2.4441,0.097655,0.30545,0.086589
0.022,73.586,0.010106,1,0.43632,0.022,47.735,0.02857,1,0.6666,0.022,27.601,0.052307,1,0.71687,0.022,11.605,0.076381,0.77374,0.48452,0.022,2.6354,0.096529,0.31442,0.091098
0.023,75.257,0.0092291,1,0.41438,0.023,49.32,0.027169,1,0.65313,0.023,28.687,0.050785,1,0.71427,0.023,12.241,0.075025,0.78247,0.48934,0.023,2.8323,0.095428,0.32327,0.095605
0.024,76.833,0.0084306,1,0.39318,0.024,50.863,0.025846,1,0.63965,0.024,29.759,0.049321,1,0.71138,0.024,12.883,0.073708,0.79108,0.49396,0.024,3.0341,0.094351,0.33197,0.10011
0.025,78.317,0.0077029,1,0.37274,0.025,52.365,0.024596,1,0.62619,0.025,30.818,0.047913,1,0.70822,0.025,13.532,0.072427,0.79962,0.49839,0.025,3.2411,0.093296,0.34055,0.1046
0.026,79.715,0.0070393,1,0.35304,0.026,53.826,0.023414,1,0.61276,0.026,31.863,0.046557,1,0.7048,0.026,14.186,0.071181,0.80798,0.50264,0.026,3.4531,0.092263,0.349,0.10909
0.028,82.27,0.0058813,1,0.31592,0.028,56.634,0.021234,1,0.58608,0.028,33.913,0.04399,1,0.69726,0.028,15.513,0.068785,0.82458,0.51062,0.028,3.892,0.090257,0.3656,0.11803
0.03,84.528,0.0049157,1,0.28179,0.03,59.291,0.019276,1,0.55973,0.03,35.911,0.0416,1,0.68891,0.03,16.863,0.066509,0.84082,0.51794,0.03,4.3499,0.088327,0.38181,0.12691
0.04,92.356,0.0020073,1,0.15238,0.04,70.56,0.011999,1,0.43613,0.04,45.157,0.031773,1,0.63841,0.04,23.915,0.056606,0.91827,0.54612,0.04,6.8993,0.079637,0.45767,0.16999
0.05,96.358,0.00081513,1,0.077555,0.05,78.989,0.007534,1,0.33043,0.05,53.259,0.024539,1,0.57965,0.05,31.408,0.048593,0.99146,0.56289,0.05,9.8349,0.072211,0.52704,0.2102
0.06,98.318,0.00032773,1,0.037606,0.06,85.2,0.0047411,1,0.24444,0.06,60.334,0.019076,1,0.51829,0.06,36.975,0.041956,1,0.56907,0.06,13.105,0.065741,0.59167,0.24706
0.07,99.245,0.00013028,1,0.017532,0.07,89.707,0.00298,1,0.17708,0.07,66.486,0.014885,1,0.45769,0.07,41.949,0.036372,1,0.56482,0.07,16.669,0.06003,0.65271,0.28038
0.08,99.669,5.1183e-05,1,0.0079102,0.08,92.93,0.0018671,1,0.12589,0.08,71.811,0.011637,1,0.3999,0.08,46.613,0.03162,1,0.55293,0.08,20.498,0.054938,0.711,0.31013
0.09,99.858,1.9874e-05,1,0.0034706,0.09,95.2,0.0011646,1,0.087991,0.09,76.399,0.0091031,1,0.34612,0.09,50.982,0.027544,1,0.53549,0.09,24.568,0.050365,0.76715,0.3364
0.1,99.94,7.5834e-06,1,0.0014859,0.1,96.778,0.00072265,1,0.060549,0.1,80.332,0.0071186,1,0.29703,0.1,55.069,0.024025,1,0.51407,0.1,28.855,0.046233,0.82153,0.35932
0.12,99.99,1.0611e-06,1,0.00025536,0.12,98.595,0.00027348,1,0.027491,0.12,86.532,0.0043372,1,0.2137,0.12,62.444,0.018315,1,0.46388,0.12,38.021,0.039064,0.92651,0.39571
0.14,99.998,-4.4676e-05,1,4.1285e-05,0.14,99.411,0.00010097,1,0.011873,0.14,90.95,0.0026216,1,0.14946,0.14,68.835,0.013967,1,0.40923,0.14,46.579,0.033077,1,0.42042
0.16,100,-0.0020394,1,5.8585e-06,0.16,99.762,3.6319e-05,1,0.004904,0.16,94.034,0.001568,1,0.10185,0.16,74.335,0.010633,1,0.35439,0.16,51.76,0.028028,1,0.43042
