1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.019,24.259,0.0095539,1,0.84482,0.019,24.259,0.028651,1,0.79593,0.019,24.259,0.057268,1,0.72265,0.019,22.279,0.1144,0.9184,0.58028,0.019,18.46,0.19035,0.76099,0.41714
0.02,25.387,0.0092662,1,0.83782,0.02,25.387,0.027788,1,0.7911,0.02,25.387,0.055544,1,0.72109,0.02,23.683,0.11096,0.93286,0.5839,0.02,19.758,0.18463,0.77826,0.42506
0.021,26.501,0.0089905,1,0.83072,0.021,26.501,0.026961,1,0.78607,0.021,26.501,0.053892,1,0.71915,0.021,25.102,0.10766,0.9472,0.58711,0.021,21.076,0.17914,0.79529,0.43249
0.022,27.601,0.008726,1,0.82354,0.022,27.601,0.026168,1,0.78085,0.022,27.601,0.052307,1,0.71687,0.022,26.536,0.10449,0.96143,0.58995,0.022,22.416,0.17388,0.81213,0.43947
0.023,28.687,0.0084719,1,0.81628,0.023,28.687,0.025406,1,0.77546,0.023,28.687,0.050785,1,0.71427,0.023,27.985,0.10145,0.97552,0.59243,0.023,23.776,0.16882,0.8288,0.44602
0.024,29.759,0.0082277,1,0.80896,0.024,29.759,0.024674,1,0.76991,0.024,29.759,0.049321,1,0.71138,0.024,29.449,0.098531,0.98956,0.59458,0.024,25.155,0.16396,0.84528,0.45214
0.025,30.818,0.0079927,1,0.80158,0.025,30.818,0.023969,1,0.76421,0.025,30.818,0.047913,1,0.70822,0.025,30.818,0.095719,1,0.5964,0.025,26.554,0.15929,0.86163,0.45786
0.026,31.863,0.0077664,1,0.79415,0.026,31.863,0.023291,1,0.75839,0.026,31.863,0.046557,1,0.7048,0.026,31.863,0.093011,1,0.59778,0.026,27.969,0.15478,0.87781,0.46319
0.028,33.913,0.0073381,1,0.77915,0.028,33.913,0.022007,1,0.74638,0.028,33.913,0.04399,1,0.69726,0.028,33.913,0.087885,1,0.59919,0.028,30.853,0.14626,0.90979,0.47275
0.03,35.911,0.0069393,1,0.76401,0.03,35.911,0.020811,1,0.73396,0.03,35.911,0.0416,1,0.68891,0.03,35.911,0.083113,1,0.59897,0.03,33.804,0.13832,0.94135,0.48094
